"代币","地址","时序记录数","分析数据点","CV%","方向通过","评分","涨幅%","斜率%/步","上涨占比","通过"
"杏花","0xf2173d0c5009dc768b294eb7d65f97ba54714444","15","10","4.998","0/3","21.0","-10.13","-1.3880","0.0%","N"
"梅花花神","0x6e13b05052891794b7ff3d0a8f4256d142624444","15","10","4.380","0/3","21.4","-12.90","-0.7964","0.0%","N"
"仙鹤","0x0a0dcfd168b399d0076804d2b76812c578b64444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"CRYPTO","0xadb206749382fd3a8bdca02aba79fa93fc5c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"化身","0xfeb0a7a7ad75f53ff06fdd88f376253a49da4444","15","10","0.924","0/3","17.1","-3.00","-0.1681","0.0%","N"
"梅花花神","0xd767cc2f29a1135e126fa41907c4a2a41feb4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"花神","0xdd066c31d2ef6abe719bb5cda15ef024f1e84444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"TTTEST","0x9addac7cf7f9cc5e69431f3266528936a67c4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"中囯智造","0xb64d2887749a7b66ff19302111007f95058f4444","15","10","0.295","0/3","11.5","-0.97","-0.0536","0.0%","N"
"花神","0x449ee53c040a9ca0f22f89a62984e2c34b184444","15","10","1.428","0/3","16.9","-3.01","-0.4287","0.0%","N"
"开端","0x311df83e6dd9b6de8607f5d4e9ad7aa5e35d4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"贺1神","0x37ac6bff4067d366057ca30f2bd8f427a7f44444","15","10","0.152","0/3","9.5","-0.61","-0.0334","0.0%","N"
"金鱼","0x2ce117618e8239d6fbf628b79521d0b1703d4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"4chan chan","0xe8da0529135981a964bc650a9cb937e89b2b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"SCP-166","0xb53f894d96b712be8c20acd8e422e87f8ced4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"4chan chan","0x8eb97a4833d83b2d5d1aa05dc38b688b0e7d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"1场春晚改变你的人生","0xefd2da242852e29246a3fba4fa46873b35a34444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"Duck","0x97373c09b692e076acc5f01c4166409836d04444","88","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"鹿","0x75dae169c7a67af83720c469cdc947abc1804444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"拜年了","0x40d23282bb90570d84562e45e9d846843d884444","25","10","5.303","3/3","67.8","8.00","1.4651","22.2%","Y"
"我要闪耀","0x6b3a2a4549eac2a3051a7aca8f1276d9f1314444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"2026","0xb6bd294c053fc7d2074cebe829a11672bbeb4444","15","10","0.008","0/3","6.2","-0.02","-0.0021","0.0%","N"
"动起来","0xd3ddcc14196e137bf9d8d942867e2b00741d4444","15","10","5.706","0/3","20.6","-12.47","-1.7243","0.0%","N"
"Firebubu","0x5eec810de5efebd2f32c9ed28a9108a164d24444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"BINANCELOVE","0x93387af536816c771ac31321e4fe0b8cd4524444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"币安，我的永恒，你点燃了我的灵魂","0xbf3b4ce90bc022cc3bceafb908339eb27d064444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"福气加码","0x99c7314d9e9768af2761f48e60bc9425db694444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"BURN","0xd1f0e2d74a4d4e179b23634d084b0151050d4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"留下","0x92cfcc1e7826bf9f86ed50fd0f6e4e1463e64444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"没有国界能够阻挡真心的传递","0x1b291b9a8d19a1b49defb7edc8f2a0624da74444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"币安春晚","0xa8df327f4d1cce802c4154244c9a54e684b74444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"小白马","0xf21c5c4e9ddf20f0a467759cf55f0ed0fc854444","15","10","2.236","0/3","20.3","-7.40","-0.4066","0.0%","N"
"谁的菜","0xd68a633da9a9f70d0af07dbfb5fab03e25754444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"一试即成","0x8c7a7ff41869cfb2472937633dda00d8201a4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"谁的菜","0x704d98bb98bad2ad1935d5b098e0725206484444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"谁的菜","0xd7e3c915685715176a254954586a6de0010d4444","15","10","0.528","0/3","15.6","-1.07","-0.1569","0.0%","N"
"谁的菜","0x99e35dababf2eab0b61aada6f56712fac5e74444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"谁的菜","0x5590d5aa1b98e7735bc3fc1e3a15ad6c8e664444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"春晚meme表情包","0x890377493c350dd8fe20bb6c5e9648bb4a854444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"小红书吉祥物","0xad586786906d9e048c29acfbce6c7b9b73e44444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"足球","0x7d42417a79ea666feb5b2d4b870b8f49bdc34444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"福特宝","0x355d48a21b25dfce625d42848515588d8b3b4444","15","10","7.836","0/3","19.3","-18.56","-2.3734","0.0%","N"
"不吃饭","0xa274af4ce26cefca42a76bd7931a984569184444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"马年安康","0x2c1be864c987e24c1842b5a4765356d2620e4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"何侠","0x4e1e414aca4040db5f0b7a9e7f5a1b8601864444","15","10","1.458","0/3","17.3","-3.54","-0.3535","0.0%","N"
"8","0x462554ed7601ef819a038859f285633180074444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"1何为贵","0xc9ce3c99f847d38ac9f9eca4a1b9b3e68c924444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"新年快乐，一起发","0x5b220d07e7ca8ccbd07cc96e687c4320bb174444","15","10","0.036","0/3","6.8","-0.09","-0.0087","0.0%","N"
"VALUABLE","0x3ba0807e2e491477de5953c7126abe64ee184444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"1何为贵","0xb8d59e15f908019ff1553266e08387f537414444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"1何为贵","0x39f442764e23615fa19692e4e258ed4143444444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"人与人之间最基本的就是信任","0x707f40bfd998399c03a4f75176f85522ab964444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"VALUABLE","0x2ada7b66efe816574442b34cd3c2189faa684444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"何虾","0x48c80a3abd75501de5cf274834726dc6d58e4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"一何为贵","0x0d7cd432b0055c455075da57d1586ce05d214444","15","10","7.388","0/3","19.6","-16.09","-1.7911","0.0%","N"
"何为贵","0xbab94aeca86523b007823e6ee4f74dd7c0314444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"1何为贵","0xff40f86280b884f54a62f1002185d25acd374444","16","10","3.007","3/3","72.6","8.07","0.7564","22.2%","Y"
"河虾","0xb1d2fa675065621fe06c59a623ef3cbaa7594444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"以何为贵","0x0ebca1632ce743899dc9a29ae8dc367494114444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"不差钱","0x47c9ba473ca3391b7bb685087f8036a7a5a64444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"银河机器人","0x7f97e5c08e4abdece5bcf25cd60330d5afd3ffff","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"追觅","0x1705237ede6c33539ca1e1a195dc31dae6414444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"一何为贵","0x1ff10b8472a5c823a554426ecd1f0746d5444444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"万事如一","0x8f1e51c7cfab7f10d26fbc0e7b014e82ee5a4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"万事皆1","0x6ba62ef69ee02fce4ebde4cc3220cb1152554444","15","10","37.845","0/3","18.0","-59.01","-11.2364","0.0%","N"
"万事皆一","0x0bbd5a97e324ac068c327e38fcbaf6a32cc44444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"请春酒","0x3f01a0370540afab3d2e2c57a1076b0803aeffff","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"万事皆1","0xfa0bef632af4423a54b1c970e2a6489a72594444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"1","0x90a095200ecdc4b77c34a634b635610020f04444","15","10","6.986","0/3","19.8","-13.49","-2.0742","0.0%","N"
"万事皆1","0x671f2cb059ca901b8a79311fc1ce66ecc34e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"万事皆一","0xb3223c0fdefaec20b41b7a0f008cdd8a67ff4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"万事皆一","0xbe1bc32529af5eee71284925ce30cfe711664444","15","10","9.525","0/3","18.3","-18.04","-2.8281","0.0%","N"
"万事皆1","0x1046b7ae3556744459876a71fa6453e1e4854444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0x19ab383b657ba23352bc2271967e4e63e5b84444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"何晚","0xfd9129237883bae5c1cf68550f720cc660fb4444","15","10","12.024","0/3","18.0","-22.35","-3.5699","0.0%","N"
"万事皆一","0xcd3c9bcdde701ae39fef265f162bc57ab6f14444","15","10","7.653","0/3","19.4","-14.70","-2.2722","0.0%","N"
"万事皆一","0x97ffa6b476e221c678e9504247c7cf5438434444","16","10","4.781","0/3","20.6","-9.39","-1.4196","0.0%","N"
"红鹅","0x2eb7178c0fbe6e2831ed3bdaa5a7557549f24444","45","10","3.587","3/3","67.7","7.54","1.0651","11.1%","Y"
"万事皆一","0x5ce4b93b299d063a8237fe3795e857d7f4094444","16","10","7.195","0/3","19.7","-13.87","-2.1361","0.0%","N"
"黑马精神","0x3dd2fdc84db5bbcf1059f3caef919738cc754444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"武BOT","0x4b020b32440b09a357ddcba0fda81eb012254444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"机器人全面入侵春晚","0xadcf267bc06869328ee1dfaab8aacf1953c34444","15","10","2.455","0/3","19.0","-6.06","-0.5952","0.0%","N"
"新年快乐，恭喜发财","0x5f61d1a95928266a0ddfa8e89cae0e44a1ee4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"机器人全面入侵春晚","0x635ec1849911aa96efc3056fd76fd5fd10a14444","15","10","1.007","0/3","16.6","-2.47","-0.2441","0.0%","N"
"币安春晚","0x2415c7efcb073224f058c7d18133421f8e884444","15","10","0.211","0/3","10.0","-0.70","-0.0384","0.0%","N"
"白马精神","0xc7c7e80bae96c09ad3eec91cfa93054db3da4444","15","10","3.961","0/3","21.6","-11.30","-0.9307","0.0%","N"
"WAZA","0xa6e6ca58784eadf25613587eb8218daaa9ee4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"在链上祝大家新年快乐","0x21f7df9b8c9d3ac2cb0b3db9faad2d366ef34444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"Nong","0x6dbfee0cd5c8ce3b5240d2e202ce881ba73e4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"Nong","0xbdb7853c32651e3cc4210e6a6d7c23b020594444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"GMGN春晚","0x90eace53deee0c3e0fef920c2867de9097704444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"有求必应","0x0e2f163d71973f624332b7a81cd0e08a2b85ffff","15","10","4.020","0/3","20.9","-9.26","-1.1196","0.0%","N"
"机器会武术  谁也挡不住","0xed9e34c0e42e0d361099da85e941a20a72944444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"帕鲁","0x2d44b600df67483d76848ea01b7bec7ca9de4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"火马","0x4d29b11a23f20c4396e5d4863a7c050ae79d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"神奇马儿","0x5a2524095384c9295212dba4f53174b0e0954444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"fire horse","0xd138bf1e489304514fd501f7f2748bdfef5b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"骑马","0x2f598643bcf0dfbeac22ddaf75d38b1791194444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"绝蜜行动","0xb312b4d3b93562b75424a9b07ec2d3e804ae4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"神奇马儿","0x8a25b0e9ab55e9c1512719192021e6a33c664444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"马","0xce0566aa1cdb77637092ad61e72d805fa9644444","15","10","7.601","0/3","19.4","-22.25","-2.2928","0.0%","N"
"万马奔腾","0xe0a6a7d52864431f839d33aba94bd13ca53d4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"神奇马儿","0x70a13d9737c3e3ee5ce312f45bef9d43863e4444","15","10","3.853","0/3","21.7","-11.51","-0.7006","0.0%","N"
"神奇马儿","0x53fb376efdc4e9a7a56629be39aeb9e0c3624444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"神奇马儿","0x968a089ddbd877bdcf2803176c4968e957af4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"神奇马儿","0xc1639654e7d5f06d61f9584b49134608d01a4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"神奇马儿","0x35082bb660d99e85887f9ccf4731e45bb9b14444","15","10","1.354","0/3","16.8","-2.89","-0.3760","0.0%","N"
"神奇马儿","0x57568596dc5210f87a8bb8668aede3f498d64444","15","10","6.481","0/3","20.1","-18.49","-1.5550","0.0%","N"
"吉量","0x03c9dc2b3ba3224951c06c7b708f6480aa724444","15","10","0.280","0/3","13.9","-0.58","-0.0838","0.0%","N"
"56","0xae0c39ca79fe6cf45e881585b373d0d6eb614444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"56","0xaf6379c956af1a1a593c099c41091f2129744444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"父母健康长寿币","0xa1a1a074d3d85ea08c16dfa4ab73878541064444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"夯爆了","0x229304b2d3fee4f621b908a026c1b98fed744444","15","10","2.138","0/3","20.7","-7.81","-0.6218","0.0%","N"
"我神马来了","0xed606a719963e7b5f162d02d51ba1686fd674444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"吉量","0x4509773bf5e9968562bbec6aac420b9d5a5c4444","15","10","2.577","0/3","17.8","-4.09","-0.7514","11.1%","N"
"金马","0x6f300973f4ea9eab86573d8bcd8791f1ff254444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"UNK","0xb5ffbb7251f2d4fb633bb07224cd15f19fda4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"我骑马来了","0x92180f820a109fa243f3c90baad46ed958b74444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"吉量神马","0x518f4748b71738ba171381160b1b53b8eca04444","15","10","0.009","0/3","6.2","-0.03","-0.0017","0.0%","N"
"拉完了","0xcb3cef6f82bf3124a9f26bddbe53684ee1334444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"夯","0x81c31b4fc3203b802f277142b3fa19e718484444","15","10","0.006","2/3","22.6","0.02","0.0010","11.1%","N"
"UNK","0x0dd85f0ccf16190b724a72d5e9cf632279974444","11","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"跃起的海马","0xcef09ba476dad66d4f443497b97cb84e97654444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"一马当先，万倍归来","0x5f9ffc5463da4c39d31b31b5ac1709b2a5904444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"一马当先，万倍归来","0xb182460cd24ca95faf36544856b67dfaa9674444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"HORSE6900","0xa364ef930fc05c98f97cf17fa0ed0ff90a8b4444","88","10","29.388","0/3","18.0","-51.96","-7.3609","0.0%","N"
"启新岁，万事顺","0xe5b5d172a31471ab94bb1853d7e1070f88794444","15","10","5.696","0/3","20.6","-12.98","-1.6298","0.0%","N"
"吉量","0x74d3e01713d56f53c700b587d9a60e4002e54444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"火马","0x3a8019910ff9bda8813cf136b1ae6e5142c74444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"吉量","0x158c7571c8223a9e601af9b22ea74e81cd884444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"比特币马","0x98292495114a763c15b9585d3baccf8e2fc74444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"吉良","0xa99bc1fb402807b96714d30426520eae738d4444","15","10","2.532","0/3","19.0","-6.13","-0.7480","0.0%","N"
"金马","0xed436c6b664642cdf8ff8e9bc3db709554cb4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"奔腾的海骝马","0xa2e78d2eab71d0fddbd4474692a57b53ae304444","15","10","0.007","0/3","6.2","-0.02","-0.0020","0.0%","N"
"吉量","0x65ddeb8c4f14d5766b37dec952199bfd6e324444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"春节K线晚会","0x0737ad4ea35bcdf6ff6dbe4c2d0b6538127c4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"来晒秋","0xc69f93f68945951d56e4afa68d5ee242c08f4444","15","10","14.811","0/3","18.7","-25.54","-4.2124","11.1%","N"
"马厩","0x83dc73e5b73c96490ecfb95df67788f6f87c4444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马","0x5328a1d9b3d84e86d765578160e1816b59bd4444","87","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农民朋友","0xfc9eaca8ccea4f3007ba788d1dc5aa2156584444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民P小将","0x0d277f6a7d4cacdab4fcc74e9a644f4ab4464444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民","0xdceaa6c41cb8a18d1e856ce23462667cde4b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农产品","0x191435e8ca2800b2bfbafee1d76493f7a1bb4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"最好的农场主","0xf7e15a20d0a931aaefbb0c4eb29da1a97e264444","15","10","0.428","0/3","14.0","-1.41","-0.0778","0.0%","N"
"农民","0xb77d2f9160d71bb63ecbcbabe45c696fd9c94444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"最好的农场主","0xb6e2c8113629bd2995597dfd43b6500dedf84444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"农民","0xeb14bf41654f2f06ee0c03505ea0dbc6410a4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农场主","0xad2a51a87e597e193b1e3bbe542bac2de2014444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"耕耘","0xeb8f5cdf32eca2fe36e4b8a68f2fc3ef9b8e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"Peasant","0x53d6c585532f878cc9d3223e6ac03c221d714444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"京粉6号","0x67cd28418b822b6276aa890d170cf24f18d44444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"农场主","0xe43085cd5cba36f0b7379351b94ca82f3a6b4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民","0x0b75e46c214f7487d7a727412e36c44c91384444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"链上农业大学","0xa74c6d64b65263137fe3f7c785f7e3422b314444","15","10","3.194","1/3","20.5","-7.50","-0.7736","11.1%","N"
"点沙成金","0xbf73ae7784bef2f05a403c2356016644c1374444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"点沙成金","0xdb19ca31d86a071e6be5151f6b823c5cddca4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"点沙成金","0x97176ff2ac9184e1a48bc2e57f8a797aefa24444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民","0x71f08d59cb1750bb543a3cde5bf7a53746f74444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农夫 PEPE","0xef44de6b50fbd482f00f2b846ded3457ab904444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"链上农业大学","0x8377111fe37ebf7ef22a936ddbb1d082439b4444","15","10","1.649","0/3","17.0","-3.32","-0.4897","0.0%","N"
"马指数6900","0x2d240f0eb9633b294c0cdf3840867a3fcc214444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农民朋友","0x9847d9cfadb7c7b61a35216dd08303358ae44444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"链上新东方","0x9a01f4432c76ab7feea7725df784cb4831974444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"齐得隆咚呛","0x5bc9762465b870a7eef6ff65385ebffce3e44444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农民","0xe60944531abcfa166f70c52b2aa9342800c14444","15","10","4.579","2/3","19.5","-5.14","0.2371","44.4%","N"
"金色的长龙","0x8ee55d2ba53fa84292011998be72d9eb4daa4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"马上有奇迹","0xf5916190378a1061835aa3ae1b5995e5cf80ffff","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农民6900","0x57e6205fcff2346bde467662616cf4a410b84444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民的粮食","0x2232f36c660c8001402cd7c47877c3417d704444","15","10","4.897","0/3","21.0","-9.94","-1.3599","0.0%","N"
"点狗成金","0x62ea51ae2578d9c9856e56df89eb068f9a6a4444","15","10","0.863","0/3","16.2","-1.90","-0.2548","0.0%","N"
"链上农业大学","0xa6e2f575ef0c408f286859083b446b43c1e94444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农民","0xe85030dd6991645938cff34fd19e90f4af15ffff","24","10","0.869","0/3","16.2","-1.87","-0.2412","0.0%","N"
"一年农到头","0x5814bb6f0a6b7f6ac91b6c59bff9a8216cad4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"廉农","0xc7003719bdb111b28bd4837250e70b0921d14444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"马到成功","0x92a85371c02a3d98f7289dc27a61635f6e1b4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"农村合作社","0xe16af2d40043c4410fac5379ade859fe27864444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民狂欢夜","0x9716cc114598b1d5523eda2d1a1d8d25fdce4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农民币","0xcf997f118ad867afd22e5c421be0869c0d9e4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"love","0x319b2ff9f8911658177b0a6e0f579e62a3074444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"shaiqiu","0x6234a57cc1268685c920fc78cd30011e09e04444","15","10","7.925","0/3","19.2","-15.97","-2.2129","0.0%","N"
"HorseKing","0x1af945c5d5bcf6f75b5a3c780decb8f9b6954444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"晒秋","0x3e9716dfc9298abc7344993f0829232842694444","15","10","3.963","1/3","15.4","-2.30","0.5569","11.1%","N"
"完美","0xc7a2a5aebf5817e037e00d7026df7b6b360d4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"完美","0x527512d8db5e9d66a7b7decb71d4a25e5e8f4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"КАБАН","0x152a602f6fa6df9229617e37053820a4841f4444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"奔腾的海骝马","0xe49a46779878322a9e6aab812187eaa7c6924444","16","10","3.591","0/3","19.5","-7.43","-0.9974","0.0%","N"
"你准喜欢","0x9f11aaf08d7a2b29a6fd01c0223735872a654444","16","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"你准喜欢","0xf07a3075e18941e670988019cbbdf0d685f04444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"BSC农家乐","0x8721d43d4b797f4658a65c9505b97201b1f84444","16","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"农场主小何","0xe2da06f93576ff791ab4e7c14dda126ac78e4444","16","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"白天刷不到晚上躲不掉","0x47c05725c559318c6b54be0b78fdf27cf1474444","15","10","0.035","0/3","6.7","-0.12","-0.0063","0.0%","N"
"谐音梗6900","0x237c37735591157cf41ad0c8931f088976bd4444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"电子榨菜","0x45b814f0a34bd70dca6b31b0812cbf378ec74444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"电子榨菜","0x923a2e1fdfdf58af88e93a3ce717ab0ede334444","15","10","0.213","0/3","12.1","-0.47","-0.0643","0.0%","N"
"加肠便饭","0x382e81cfe56e22fea0d532fd1b2a3caf8e494444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"电子榨菜","0xa00aea882a22b1f9fa4482826429e2885c684444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"美食6900","0xf0b111739bd16205dc594cfc26ff84bbe9a04444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"加肠便饭","0xec7adf229d4f0f50a154aeb0c620fecd46d74444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
"加肠变饭","0x06f7e0ac46f55d39125507b01f3c3e4c70684444","15","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N"
"女孩魔法師房間","0x025290621748068b9cc1273ec9882d674eb84444","15","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N"
"疯狂购物鸡","0x957894e2464e56da9df38259206aaa5a49c74444","15","10","0.034","0/3","6.9","-0.08","-0.0096","0.0%","N"
"不用动脑记","0xc710c8b2b61a15fab006ec15c19fd50823784444","15","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N"
